timestamp,gyroX,gyroY,gyroZ
1723896805.1813629,0.55,-0.06,-0.43
1723896805.8243372,0.55,-0.12,-0.43
1723896806.178285,0.55,-0.12,-0.37
1723896806.5173125,0.55,-0.12,-0.43
1723896806.8553548,0.49,-0.06,-0.43
1723896807.193726,0.55,-0.12,-0.43
1723896807.5476265,0.49,-0.12,-0.43
1723896807.8891602,0.61,-0.06,-0.43
1723896808.216695,0.55,-0.12,-0.43
1723896808.557049,0.55,-0.12,-0.43
1723896808.8973796,0.49,-0.06,-0.43
1723896809.2346303,0.55,-0.12,-0.43
1723896809.572383,0.49,-0.12,-0.43
1723896809.9108322,0.55,-0.12,-0.43
1723896810.2521403,0.55,-0.12,-0.43
1723896810.5931304,0.55,-0.12,-0.43
1723896810.9316468,0.49,-0.12,-0.43
1723896811.2696123,0.55,-0.06,-0.43
1723896811.6088002,0.55,-0.12,-0.43
1723896811.9487464,0.49,-0.12,-0.43
1723896812.284935,0.55,-0.12,-0.43
1723896812.6394536,0.49,-0.06,-0.37
1723896812.9774358,0.55,-0.12,-0.43
1723896813.345487,0.55,-0.12,-0.43
1723896813.8087864,0.55,-0.06,-0.43
1723896814.1459866,0.49,-0.12,-0.43
1723896814.481801,0.49,-0.12,-0.43
1723896814.8186848,0.55,-0.06,-0.43
1723896815.177344,0.55,-0.12,-0.43
1723896815.6239586,0.55,-0.06,-0.43
1723896816.036821,0.55,-0.06,-0.43
1723896816.3908124,0.55,-0.12,-0.43
1723896816.7310934,0.55,-0.06,-0.43
1723896817.0719378,0.55,-0.12,-0.43
1723896817.400256,0.55,-0.12,-0.43
1723896817.7429113,0.55,-0.06,-0.43
1723896818.0830836,0.55,-0.06,-0.43
1723896818.437845,0.49,-0.12,-0.43
1723896818.7641068,0.49,-0.06,-0.43
1723896819.1053276,0.55,-0.12,-0.49
1723896819.4285557,0.49,-0.06,-0.43
1723896819.7697484,0.55,-0.06,-0.43
1723896820.4602492,0.49,-0.06,-0.43
1723896820.7958026,0.55,-0.06,-0.43
1723896821.1708472,0.61,-0.06,-0.43
1723896821.5895524,0.55,-0.12,-0.43
1723896821.9583452,0.61,-0.12,-0.43
1723896822.3028808,0.55,-0.06,-0.49
1723896822.6306734,0.49,-0.06,-0.43
1723896822.9734194,0.55,-0.06,-0.37
1723896823.3150988,0.55,-0.06,-0.43
1723896823.6590695,0.55,-0.12,-0.43
1723896823.9972582,0.55,-0.06,-0.43
1723896824.3395445,0.55,-0.06,-0.43
1723896824.6817,0.61,-0.06,-0.43
1723896825.0223796,0.55,-0.12,-0.43
1723896825.360881,0.49,-0.06,-0.43
1723896825.6991205,0.55,-0.06,-0.43
1723896826.0239918,0.55,-0.06,-0.43
1723896826.3641565,0.55,-0.06,-0.37
1723896826.7039657,0.55,-0.06,-0.43
1723896827.0436714,0.49,-0.12,-0.43
1723896827.3847291,0.61,-0.06,-0.43
1723896827.725069,0.55,-0.12,-0.43
1723896828.0690048,0.55,-0.06,-0.43
1723896828.3963027,0.55,-0.12,-0.43
1723896828.7245963,0.55,-0.12,-0.43
1723896829.0629957,0.55,-0.06,-0.43
1723896829.3889153,0.55,-0.06,-0.43
1723896829.7301636,0.55,-0.06,-0.43
1723896830.0715015,0.49,-0.12,-0.43
1723896830.412874,0.55,-0.06,-0.43
1723896830.751111,0.55,-0.06,-0.43
1723896831.0766706,0.55,-0.06,-0.43
1723896831.4154563,0.55,-0.12,-0.43
1723896831.756985,0.55,-0.12,-0.43
1723896832.0812337,0.55,-0.06,-0.43
1723896832.4549794,0.55,-0.06,-0.43
1723896832.7854662,0.55,-0.06,-0.43
1723896833.1424553,0.55,-0.12,-0.43
1723896833.4709961,0.49,-0.06,-0.43
1723896833.7985277,0.55,-0.12,-0.43
1723896834.1375127,0.49,-0.06,-0.43
1723896834.476743,0.61,-0.12,-0.43
1723896834.8176205,0.55,-0.06,-0.43
1723896835.1424575,0.55,-0.12,-0.43
1723896835.4694107,0.55,-0.12,-0.43
1723896835.8095315,0.49,-0.12,-0.43
1723896836.132179,0.55,-0.06,-0.43
1723896836.4734101,0.55,-0.06,-0.43
1723896836.8106194,0.55,-0.06,-0.43
1723896837.14993,0.55,-0.12,-0.43
1723896837.4838574,0.49,-0.12,-0.43
1723896837.8052008,0.55,-0.06,-0.43
1723896838.1567316,0.55,-0.12,-0.43
1723896838.4932745,0.55,-0.12,-0.43
1723896838.8331816,0.55,-0.12,-0.43
1723896839.1703684,0.49,-0.06,-0.43
1723896839.5107794,0.55,-0.12,-0.43
1723896839.8505917,0.55,-0.06,-0.43
1723896840.1908388,0.49,-0.06,-0.43
1723896840.7003314,0.55,-0.06,-0.43
1723896841.0392692,0.55,-0.12,-0.43
1723896841.3801408,0.55,-0.06,-0.43
1723896841.704027,0.49,-0.12,-0.43
1723896842.0312164,0.55,-0.12,-0.49
1723896842.3703022,0.49,-0.12,-0.43
1723896842.698077,0.55,-0.12,-0.49
1723896843.0240233,0.98,-0.06,-0.31
1723896843.362981,5.31,0.24,5.8
1723896843.7021673,-0.37,-0.24,-0.18
1723896844.0276544,-0.24,-0.12,-0.43
1723896844.3685534,-10.13,-0.85,-0.37
1723896844.7093325,0.49,-0.06,-0.49
1723896845.051145,0.43,-0.12,-0.43
1723896845.3754811,-30.4,1.34,-37.48
